Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
Stickman,2017,10,2017-10-21,Awards Season,,0,0,0,0
That Good Night,2017,6,2017-06-20,Summer Blockbuster,,0,0,0,0
An Imperfect Murder,2017,9,2017-09-03,Awards Season,,0,0,0,0
Tracktown,2017,5,2017-05-12,Spring,,0,0,0,0
Renegades,2017,8,2017-08-21,Summer Blockbuster,,0,0,0,0
It Was Fifty Years Ago Today! The Beatles: Sgt. Pepper & Beyond,2017,5,2017-05-26,Spring,,0,0,0,0
Lee Chaedam's G-Spot,2017,10,2017-10-26,Awards Season,,0,0,0,0
"Rock, Paper, Scissors",2017,10,2017-10-21,Awards Season,,0,0,0,0
"With Love, Christmas",2017,11,2017-11-22,Holiday Season,,0,0,0,0
Don't Look Away,2017,4,2017-04-25,Spring,,0,0,0,0
Veronica,2017,8,2017-08-14,Summer Blockbuster,,0,0,0,0
Pork Pie,2017,2,2017-02-02,Awards Season,,0,0,0,0
68 Kill,2017,8,2017-08-04,Summer Blockbuster,,0,0,0,0
Ok Jaanu,2017,1,2017-01-12,Awards Season,,0,0,0,0
Stalker's Prey,2017,2,2017-02-09,Awards Season,,0,0,0,0
"Ah, Wilderness: Part 2",2017,10,2017-10-21,Awards Season,,0,0,0,0
Shepherds and Butchers,2017,5,2017-05-12,Spring,,0,0,0,0
Rock'n Roll,2017,2,2017-02-15,Awards Season,,0,0,0,0
The Music of Silence,2017,9,2017-09-18,Awards Season,,0,0,0,0
Dismissed,2017,10,2017-10-08,Awards Season,,0,0,0,0
The Perfect Bride,2017,6,2017-06-10,Summer Blockbuster,,0,0,0,0
Love Struck Café,2017,10,2017-10-14,Awards Season,,0,0,0,0
Carbone,2017,11,2017-11-01,Holiday Season,,0,0,0,0
Bingo: The King of the Mornings,2017,8,2017-08-24,Summer Blockbuster,,0,0,0,0
What the Health,2017,3,2017-03-16,Spring,,0,0,0,0
Bottom of the World,2017,3,2017-03-31,Spring,,0,0,0,0
The Silent Child,2017,8,2017-08-08,Summer Blockbuster,,1,0,0,1
The Rachels,2017,1,2017-01-15,Awards Season,,0,0,0,0
My Blind Date with Life,2017,1,2017-01-26,Awards Season,,0,0,0,0
Laddie: The Man Behind the Movies,2017,11,2017-11-12,Holiday Season,,0,0,0,0
Cardinals,2017,9,2017-09-07,Awards Season,,0,0,0,0
Crazy Famous,2017,3,2017-03-17,Spring,,0,0,0,0
Blue My Mind,2017,10,2017-10-02,Awards Season,,0,0,0,0
Destination Wedding,2017,6,2017-06-03,Summer Blockbuster,,0,0,0,0
"Mektoub, My Love: Canto Uno",2017,9,2017-09-07,Awards Season,,0,0,0,0
The Broken Key,2017,11,2017-11-16,Holiday Season,,0,0,0,0
One on One,2017,8,2017-08-01,Summer Blockbuster,,0,0,0,0
Holy Camp!,2017,9,2017-09-29,Awards Season,,0,0,0,0
Ana and Bruno,2017,9,2017-09-01,Awards Season,,0,0,0,0
Gdansk,2017,11,2017-11-21,Holiday Season,,0,0,0,0
Central Park,2017,6,2017-06-06,Summer Blockbuster,,0,0,0,0
The Child Remains,2017,6,2017-06-20,Summer Blockbuster,,0,0,0,0
Oligosaccharide The Movie,2017,6,2017-06-15,Summer Blockbuster,,0,0,0,0
Traces of Sin,2017,2,2017-02-18,Awards Season,,0,0,0,0
Gauguin: Voyage to Tahiti,2017,9,2017-09-20,Awards Season,,0,0,0,0
Curse of the Mayans,2017,1,2017-01-02,Awards Season,,0,0,0,0
A Day,2017,6,2017-06-15,Summer Blockbuster,,0,0,0,0
Truth or Dare,2017,10,2017-10-08,Awards Season,,0,0,0,0
True to the Game,2017,9,2017-09-08,Awards Season,,0,0,0,0
Like.Share.Follow.,2017,10,2017-10-31,Awards Season,,0,0,0,0
Wedding March 2: Resorting to Love,2017,6,2017-06-17,Summer Blockbuster,,0,0,0,0
Deadly Exposé,2017,5,2017-05-01,Spring,,0,0,0,0
Bright Lights: Starring Carrie Fisher and Debbie Reynolds,2017,1,2017-01-11,Awards Season,,0,0,0,0
The Joneses Unplugged,2017,5,2017-05-06,Spring,,0,0,0,0
Letters from Baghdad,2017,4,2017-04-21,Spring,,0,0,0,0
12 Days of Giving,2017,11,2017-11-26,Holiday Season,,0,0,0,0
The Eagle and the Lion: Hitler vs Churchill,2017,9,2017-09-20,Awards Season,,0,0,0,0
The Night Watchmen,2017,3,2017-03-04,Spring,,0,0,0,0
Foxtrot,2017,9,2017-09-02,Awards Season,,0,0,0,0
From Nowhere,2017,2,2017-02-17,Awards Season,,0,0,0,0
Monster Island,2017,7,2017-07-21,Summer Blockbuster,,0,0,0,0
Howard Lovecraft & the Undersea Kingdom,2017,9,2017-09-23,Awards Season,,0,0,0,0
The Nile Hilton Incident,2017,6,2017-06-19,Summer Blockbuster,,0,0,0,0
Cradle Swapping,2017,5,2017-05-07,Spring,,0,0,0,0
Sleepwalker,2017,10,2017-10-10,Awards Season,,0,0,0,0
Nobody's Watching,2017,5,2017-05-18,Spring,,0,0,0,0
The Reagan Show,2017,4,2017-04-22,Spring,,0,0,0,0
Meatball Machine Kodoku,2017,8,2017-08-19,Summer Blockbuster,,0,0,0,0
11:55,2017,6,2017-06-09,Summer Blockbuster,,0,0,0,0
All for Love,2017,5,2017-05-27,Spring,,0,0,0,0
Let the Corpses Tan,2017,10,2017-10-18,Awards Season,,0,0,0,0
Early Release,2017,5,2017-05-05,Spring,,0,0,0,0
The Heretics,2017,11,2017-11-01,Holiday Season,,0,0,0,0
Love and Other Cults,2017,7,2017-07-15,Summer Blockbuster,,0,0,0,0
High Heel Homicide,2017,6,2017-06-20,Summer Blockbuster,,0,0,0,0
Ava,2017,6,2017-06-21,Summer Blockbuster,,0,0,0,0
"The Bold, the Corrupt and the Beautiful",2017,11,2017-11-24,Holiday Season,,0,0,0,0
Don't Tell,2017,5,2017-05-18,Spring,,0,0,0,0
Honnouji Hotel,2017,1,2017-01-14,Awards Season,,0,0,0,0
Policeman and Me,2017,3,2017-03-25,Spring,,0,0,0,0
An Uncommon Grace,2017,2,2017-02-12,Awards Season,,0,0,0,0
A Rose for Christmas,2017,1,2017-01-01,Awards Season,,0,0,0,0
My Name Is Lenny,2017,6,2017-06-09,Summer Blockbuster,,0,0,0,0
Easy Living,2017,9,2017-09-15,Awards Season,,0,0,0,0
I Remember You,2017,5,2017-05-05,Spring,,0,0,0,0
A Fan's Guide to Spider-Man Homecoming,2017,6,2017-06-03,Summer Blockbuster,,0,0,0,0
A Royal Christmas Ball,2017,12,2017-12-10,Holiday Season,,0,0,0,0
Birds Without Names,2017,10,2017-10-28,Awards Season,,0,0,0,0
Cherry Pop,2017,9,2017-09-22,Awards Season,,0,0,0,0
Everything Is Free,2017,9,2017-09-03,Awards Season,,0,0,0,0
Vikram Vedha,2017,7,2017-07-21,Summer Blockbuster,,0,0,0,0
Serialized,2017,7,2017-07-08,Summer Blockbuster,,0,0,0,0
It's All About Karma,2017,3,2017-03-09,Spring,,0,0,0,0
Kaabil,2017,1,2017-01-25,Awards Season,,0,0,0,0
Eddie's Life Coach,2017,3,2017-03-21,Spring,,0,0,0,0
"Blood, Sand & Gold",2017,3,2017-03-10,Spring,,0,0,0,0
Never Here,2017,6,2017-06-18,Summer Blockbuster,,0,0,0,0
Marry Me at Christmas,2017,10,2017-10-28,Awards Season,,0,0,0,0
A StoryBots Christmas,2017,12,2017-12-01,Holiday Season,,0,0,0,0
Maria by Callas,2017,12,2017-12-13,Holiday Season,,0,0,0,0
Fanged Up,2017,10,2017-10-31,Awards Season,,0,0,0,0
The Black Prince,2017,7,2017-07-21,Summer Blockbuster,,0,0,0,0
Campfire Kiss,2017,3,2017-03-18,Spring,,0,0,0,0
Tomato Red,2017,2,2017-02-24,Awards Season,,0,0,0,0
Valley of Bones,2017,9,2017-09-01,Awards Season,,0,0,0,0
Romans,2017,12,2017-12-21,Holiday Season,,0,0,0,0
Method,2017,11,2017-11-02,Holiday Season,,0,0,0,0
Story of a Girl,2017,6,2017-06-20,Summer Blockbuster,,0,0,0,0
Three Seconds,2017,12,2017-12-28,Holiday Season,46596415.0,0,0,0,0
Like a Cat on a Highway,2017,12,2017-12-28,Holiday Season,,0,0,0,0
Uncle Howard,2017,3,2017-03-10,Spring,,0,0,0,0
"Gourmet Detective: Eat, Drink and Be Buried",2017,10,2017-10-08,Awards Season,,0,0,0,0
Heartthrob,2017,10,2017-10-10,Awards Season,,0,0,0,0
Escaping Dad,2017,5,2017-05-21,Spring,,0,0,0,0
High School Lover,2017,2,2017-02-04,Awards Season,,0,0,0,0
Trailer Park Shark,2017,8,2017-08-02,Summer Blockbuster,,0,0,0,0
The Founding of an Army,2017,8,2017-08-01,Summer Blockbuster,60600361.0,0,0,0,0
The Death and Life of Otto Bloom,2017,3,2017-03-16,Spring,,0,0,0,0
Unknown Soldier,2017,10,2017-10-27,Awards Season,,0,0,0,0
Meri Pyaari Bindu,2017,5,2017-05-11,Spring,,0,0,0,0
Ex-Wife Killer,2017,12,2017-12-25,Holiday Season,,0,0,0,0
Man of Will,2017,10,2017-10-19,Awards Season,,0,0,0,0
The Watcher in the Woods,2017,10,2017-10-21,Awards Season,,0,0,0,0
Peppa Pig: My First Cinema Experience,2017,4,2017-04-07,Spring,,0,0,0,0
Bullet Head,2017,12,2017-12-07,Holiday Season,,0,0,0,0
Sleeping Beauties,2017,7,2017-07-27,Summer Blockbuster,,0,0,0,0
The End?,2017,8,2017-08-14,Summer Blockbuster,,0,0,0,0
Love on the Vines,2017,1,2017-01-07,Awards Season,,0,0,0,0
The Levelling,2017,5,2017-05-12,Spring,,0,0,0,0
Nanny Seduction,2017,2,2017-02-26,Awards Season,,0,0,0,0
Everybody Loves Somebody,2017,2,2017-02-10,Awards Season,,0,0,0,0
Shattered,2017,1,2017-01-28,Awards Season,,0,0,0,0
Do I Say I Do?,2017,10,2017-10-24,Awards Season,,0,0,0,0
Confessions of a Teenage Jesus Jerk,2017,5,2017-05-10,Spring,,0,0,0,0
What a Wonderful Family! 2,2017,4,2017-04-20,Spring,,0,0,0,0
Dawn of the Felines,2017,1,2017-01-14,Awards Season,,0,0,0,0
Love and Bullets,2017,8,2017-08-01,Summer Blockbuster,,0,0,0,0
County Line,2017,6,2017-06-16,Summer Blockbuster,,0,0,0,0
Because I Love You,2017,1,2017-01-04,Awards Season,,0,0,0,0
Toilet: A Love Story,2017,8,2017-08-11,Summer Blockbuster,,0,0,0,0
Youth in Oregon,2017,1,2017-01-11,Awards Season,,0,0,0,0
Sea Change,2017,9,2017-09-17,Awards Season,,0,0,0,0
Gender Revolution: A Journey with Katie Couric,2017,2,2017-02-06,Awards Season,,0,0,0,0
Hirugao,2017,6,2017-06-10,Summer Blockbuster,,0,0,0,0
Rabbit School: Guardians of the Golden Egg,2017,3,2017-03-16,Spring,,0,0,0,0
The Midwife,2017,3,2017-03-22,Spring,,0,0,0,0
I Can Speak,2017,9,2017-09-21,Awards Season,24024444.0,0,0,0,0
Darkland,2017,1,2017-01-19,Awards Season,,0,0,0,0
Division 19,2017,2,2017-02-24,Awards Season,,0,0,0,0
B&B,2017,4,2017-04-13,Spring,,0,0,0,0
One of Us,2017,3,2017-03-14,Spring,,0,0,0,0
Geo-Disaster,2017,10,2017-10-03,Awards Season,,0,0,0,0
Narratage,2017,10,2017-10-07,Awards Season,,0,0,0,0
Memoirs of a Murderer,2017,6,2017-06-10,Summer Blockbuster,,0,0,0,0
But Deliver Us from Evil,2017,4,2017-04-27,Spring,,0,0,0,0
The Age of Blood,2017,11,2017-11-23,Holiday Season,,0,0,0,0
Another Kind of Wedding,2017,12,2017-12-01,Holiday Season,,0,0,0,0
Reinventing Marvin,2017,11,2017-11-22,Holiday Season,,0,0,0,0
Bomb City,2017,3,2017-03-31,Spring,,0,0,0,0
Girlfriend Killer,2017,6,2017-06-01,Summer Blockbuster,,0,0,0,0
Switched for Christmas,2017,11,2017-11-26,Holiday Season,,0,0,0,0
The 100th Love with You,2017,2,2017-02-04,Awards Season,,0,0,0,0
Te Ata,2017,10,2017-10-13,Awards Season,,0,0,0,0
A Neighbor's Deception,2017,4,2017-04-08,Spring,,0,0,0,0
Love of My Life,2017,2,2017-02-17,Awards Season,,0,0,0,0
Hamilton: One Shot to Broadway,2017,5,2017-05-09,Spring,,0,0,0,0
Alone,2017,2,2017-02-08,Awards Season,,0,0,0,0
Dead on Arrival,2017,8,2017-08-11,Summer Blockbuster,,0,0,0,0
Breath,2017,6,2017-06-22,Summer Blockbuster,,0,0,0,0
Beside Bowie - The Mick Ronson Story,2017,5,2017-05-09,Spring,,0,0,0,0
Bruno & Boots: This Can't Be Happening at Macdonald Hall,2017,4,2017-04-01,Spring,,0,0,0,0
The Tank,2017,7,2017-07-27,Summer Blockbuster,,0,0,0,0
Garage Sale Mystery: Murder By Text,2017,8,2017-08-13,Summer Blockbuster,,0,0,0,0
The Summoning,2017,1,2017-01-10,Awards Season,,0,0,0,0
My Baby Is Gone!,2017,9,2017-09-04,Awards Season,,0,0,0,0
Tiny Christmas,2017,12,2017-12-02,Holiday Season,,0,0,0,0
March of the Penguins 2: The Next Step,2017,2,2017-02-15,Awards Season,,0,0,0,0
The Swindlers,2017,11,2017-11-22,Holiday Season,29721916.0,0,0,0,0
Bill Nye: Science Guy,2017,4,2017-04-10,Spring,,0,0,0,0
Christmas Next Door,2017,12,2017-12-16,Holiday Season,,0,0,0,0
Once Upon a Time,2017,8,2017-08-03,Summer Blockbuster,82886178.0,0,0,0,0
Bad Kids of Crestview Academy,2017,1,2017-01-13,Awards Season,,0,0,0,0
Scales: Mermaids Are Real,2017,7,2017-07-21,Summer Blockbuster,,0,0,0,0
Joan Didion: The Center Will Not Hold,2017,10,2017-10-11,Awards Season,,0,0,0,0
Dalida,2017,1,2017-01-11,Awards Season,,0,0,0,0
Bhoomi,2017,9,2017-09-22,Awards Season,,0,0,0,0
Unacknowledged,2017,5,2017-05-23,Spring,,0,0,0,0
Kalushi : The Story of Solomon Mahlangu,2017,3,2017-03-10,Spring,,0,0,0,0
Closest Love to Heaven,2017,2,2017-02-25,Awards Season,,0,0,0,0
The Anthem of the Heart,2017,7,2017-07-22,Summer Blockbuster,,0,0,0,0
The Guardians,2017,12,2017-12-06,Holiday Season,,0,0,0,0
Middleground,2017,11,2017-11-02,Holiday Season,,0,0,0,0
Icarus,2017,6,2017-06-03,Summer Blockbuster,,1,0,1,2
Mr. Long,2017,4,2017-04-22,Spring,,0,0,0,0
Get the Girl,2017,1,2017-01-27,Awards Season,,0,0,0,0
Oscar Pistorius: Blade Runner Killer,2017,11,2017-11-11,Holiday Season,,0,0,0,0
"Never Steady, Never Still",2017,9,2017-09-09,Awards Season,,0,0,0,0
Ryuichi Sakamoto: Coda,2017,11,2017-11-04,Holiday Season,,0,0,0,0
Mobile Homes,2017,5,2017-05-21,Spring,,0,0,0,0
Lycan,2017,8,2017-08-04,Summer Blockbuster,,0,0,0,0
Daughter for Sale,2017,5,2017-05-23,Spring,,0,0,0,0
Rendel,2017,9,2017-09-22,Awards Season,,0,0,0,0
The Light of the Moon,2017,3,2017-03-12,Spring,,0,0,0,0
A Very Country Christmas,2017,11,2017-11-12,Holiday Season,,0,0,0,0
Camera Obscura,2017,6,2017-06-09,Summer Blockbuster,,0,0,0,0
This Is Not What I Expected,2017,4,2017-04-28,Spring,30996615.0,0,0,0,0
Frat Star,2017,1,2017-01-03,Awards Season,,0,0,0,0
House of the Witch,2017,10,2017-10-07,Awards Season,,0,0,0,0
Halloween Pussy Trap Kill! Kill!,2017,10,2017-10-27,Awards Season,,0,0,0,0
Manifesto,2017,5,2017-05-10,Spring,,0,0,0,0
Long Strange Trip,2017,5,2017-05-25,Spring,,0,0,0,0
Curvature,2017,10,2017-10-08,Awards Season,,0,0,0,0
A Woman Deceived,2017,5,2017-05-18,Spring,,0,0,0,0
All I See Is You,2017,8,2017-08-10,Summer Blockbuster,,0,0,0,0
Kedi,2017,1,2017-01-08,Awards Season,,0,0,0,0
Chef,2017,10,2017-10-06,Awards Season,,0,0,0,0
Na układy nie ma rady,2017,9,2017-09-08,Awards Season,,0,0,0,0
Meditation Park,2017,9,2017-09-08,Awards Season,,0,0,0,0
Happily Never After,2017,3,2017-03-01,Spring,,0,0,0,0
Afterburn/Aftershock,2017,11,2017-11-03,Holiday Season,,0,0,0,0
Red Istanbul,2017,3,2017-03-02,Spring,,0,0,0,0
The Mars Generation,2017,1,2017-01-20,Awards Season,,0,0,0,0
The Bride,2017,1,2017-01-19,Awards Season,,0,0,0,0
The Invisibles,2017,10,2017-10-08,Awards Season,,0,0,0,0
Woman on the Run,2017,4,2017-04-16,Spring,,0,0,0,0
Just Charlie,2017,6,2017-06-23,Summer Blockbuster,,0,0,0,0
Wedding Unplanned,2017,4,2017-04-26,Spring,,0,0,0,0
Naples in Veils,2017,12,2017-12-28,Holiday Season,,0,0,0,0
Mumon: The Land of Stealth,2017,7,2017-07-01,Summer Blockbuster,,0,0,0,0
T2: Reprogramming The Terminator,2017,11,2017-11-23,Holiday Season,,0,0,0,0
Anne of Green Gables: The Good Stars,2017,2,2017-02-20,Awards Season,,0,0,0,0
Teiichi: Battle of Supreme High,2017,4,2017-04-29,Spring,,0,0,0,0
Sky Hunter,2017,9,2017-09-29,Awards Season,48065601.0,0,0,0,0
After Louie,2017,3,2017-03-17,Spring,,0,0,0,0
Mist & the Maiden,2017,9,2017-09-01,Awards Season,,0,0,0,0
The Rizen,2017,5,2017-05-06,Spring,,0,0,0,0
Part-Time Spy,2017,3,2017-03-16,Spring,,0,0,0,0
Guardians of Martial Arts,2017,11,2017-11-11,Holiday Season,,0,0,0,0
Be Afraid,2017,6,2017-06-01,Summer Blockbuster,,0,0,0,0
Heart Blackened,2017,11,2017-11-02,Holiday Season,,0,0,0,0
Fat Camp,2017,6,2017-06-21,Summer Blockbuster,,0,0,0,0
Jerry Before Seinfeld,2017,9,2017-09-19,Awards Season,,0,0,0,0
Pure Country: Pure Heart,2017,8,2017-08-01,Summer Blockbuster,,0,0,0,0
The Wrong Neighbor,2017,6,2017-06-26,Summer Blockbuster,,0,0,0,0
Don't Talk to Irene,2017,8,2017-08-07,Summer Blockbuster,,0,0,0,0
95,2017,12,2017-12-25,Holiday Season,,0,0,0,0
Mississippi River Sharks,2017,7,2017-07-31,Summer Blockbuster,,0,0,0,0
A Few Less Men,2017,3,2017-03-09,Spring,,0,0,0,0
Anarchist from Colony,2017,6,2017-06-28,Summer Blockbuster,,0,0,0,0
The Fixies: Top Secret,2017,10,2017-10-28,Awards Season,,0,0,0,0
Sgt Pepper's Musical Revolution,2017,6,2017-06-03,Summer Blockbuster,,0,0,0,0
Armstrong,2017,9,2017-09-12,Awards Season,,0,0,0,0
Half Girlfriend,2017,5,2017-05-18,Spring,,0,0,0,0
Cut Shoot Kill,2017,8,2017-08-08,Summer Blockbuster,,0,0,0,0
Firebase,2017,6,2017-06-28,Summer Blockbuster,,0,0,0,0
A Prominent Patient,2017,3,2017-03-09,Spring,,0,0,0,0
ExPatriot,2017,6,2017-06-27,Summer Blockbuster,,0,0,0,0
Sticky Notes,2017,2,2017-02-01,Awards Season,,0,0,0,0
Your Move,2017,12,2017-12-01,Holiday Season,,0,0,0,0
Moontrap: Target Earth,2017,2,2017-02-07,Awards Season,,0,0,0,0
Youth,2017,12,2017-12-15,Holiday Season,227091290.0,0,0,0,0
Dahufa,2017,7,2017-07-13,Summer Blockbuster,,0,0,0,0
Tiny House of Terror,2017,6,2017-06-29,Summer Blockbuster,,0,0,0,0
Rumble: The Indians Who Rocked the World,2017,7,2017-07-26,Summer Blockbuster,,0,0,0,0
Food Evolution,2017,6,2017-06-23,Summer Blockbuster,,0,0,0,0
Lowlife,2017,7,2017-07-21,Summer Blockbuster,,0,0,0,0
AlphaGo,2017,4,2017-04-21,Spring,,0,0,0,0
Memoir of War,2017,8,2017-08-17,Summer Blockbuster,,0,0,0,0
Love at the Shore,2017,8,2017-08-05,Summer Blockbuster,,0,0,0,0
A Wedding Wonderland,2017,12,2017-12-25,Holiday Season,,0,0,0,0
Commando 2 - The Black Money Trail,2017,3,2017-03-02,Spring,,0,0,0,0
The Tickle King,2017,2,2017-02-27,Awards Season,,0,0,0,0
Trumped: Inside the Greatest Political Upset of All Time,2017,1,2017-01-27,Awards Season,,0,0,0,0
The Christmas Calendar,2017,11,2017-11-19,Holiday Season,,0,0,0,0
The Stolen,2017,10,2017-10-29,Awards Season,,0,0,0,0
High-Rise Rescue,2017,8,2017-08-13,Summer Blockbuster,,0,0,0,0
The Dark Tapes,2017,4,2017-04-17,Spring,,0,0,0,0
Class Rank,2017,4,2017-04-21,Spring,,0,0,0,0
La Cicciolina: Godmother of Scandal,2017,5,2017-05-10,Spring,,0,0,0,0
Zama,2017,9,2017-09-28,Awards Season,,0,0,0,0
Joe Cocker: Mad Dog with Soul,2017,3,2017-03-17,Spring,,0,0,0,0
Our Shining Days,2017,7,2017-07-20,Summer Blockbuster,,0,0,0,0
Summer in the Vineyard,2017,8,2017-08-12,Summer Blockbuster,,0,0,0,0
"Eat, Play, Love",2017,8,2017-08-19,Summer Blockbuster,,0,0,0,0
Best F(r)iends: Volume 1,2017,9,2017-09-04,Awards Season,,0,0,0,0
Convergence,2017,2,2017-02-05,Awards Season,,0,0,0,0
Game of Death,2017,3,2017-03-20,Spring,,0,0,0,0
Baadshaho,2017,9,2017-09-01,Awards Season,,0,0,0,0
One-Line,2017,3,2017-03-29,Spring,,0,0,0,0
Raja the Great,2017,10,2017-10-18,Awards Season,,0,0,0,0
Skybound,2017,11,2017-11-07,Holiday Season,,0,0,0,0
Rory Scovel Tries Stand-Up for the First Time,2017,6,2017-06-20,Summer Blockbuster,,0,0,0,0
Angry Angel,2017,11,2017-11-27,Holiday Season,,0,0,0,0
Tom of Finland,2017,2,2017-02-24,Awards Season,,0,0,0,0
Darker Shades of Elise,2017,7,2017-07-10,Summer Blockbuster,,0,0,0,0
Engaging Father Christmas,2017,11,2017-11-12,Holiday Season,,0,0,0,0
Dating My Mother,2017,6,2017-06-16,Summer Blockbuster,,0,0,0,0
Party Bus To Hell,2017,10,2017-10-30,Awards Season,,0,0,0,0
Bad Day for the Cut,2017,10,2017-10-20,Awards Season,,0,0,0,0
Nails,2017,6,2017-06-16,Summer Blockbuster,,0,0,0,0
Badrinath Ki Dulhania,2017,3,2017-03-10,Spring,,0,0,0,0
Brakes,2017,11,2017-11-24,Holiday Season,,0,0,0,0
The Other Mother,2017,4,2017-04-22,Spring,,0,0,0,0
Devil's Whisper,2017,6,2017-06-10,Summer Blockbuster,,0,0,0,0
Running Away,2017,5,2017-05-06,Spring,,0,0,0,0
Love Blossoms,2017,2,2017-02-18,Awards Season,,0,0,0,0
An American Girl Story - Ivy & Julie 1976: A Happy Balance,2017,3,2017-03-24,Spring,,0,0,0,0
To Each His Own,2017,5,2017-05-27,Spring,,0,0,0,0
The Price,2017,11,2017-11-10,Holiday Season,,0,0,0,0
Raising the Bar,2017,3,2017-03-09,Spring,,0,0,0,0
Needlestick,2017,2,2017-02-21,Awards Season,,0,0,0,0
Jolly LLB 2,2017,2,2017-02-09,Awards Season,24214186.0,0,0,0,0
Who Killed Cock Robin,2017,3,2017-03-30,Spring,,0,0,0,0
Treasure Hounds,2017,8,2017-08-15,Summer Blockbuster,,0,0,0,0
It’s the Law,2017,1,2017-01-19,Awards Season,,0,0,0,0
Jackals,2017,9,2017-09-01,Awards Season,,0,0,0,0
The Eyes,2017,4,2017-04-07,Spring,,0,0,0,0
Mom or Dad?,2017,2,2017-02-14,Awards Season,,0,0,0,0
Gnaw,2017,9,2017-09-16,Awards Season,,0,0,0,0
The Carter Effect,2017,9,2017-09-09,Awards Season,,0,0,0,0
Jagga Jasoos,2017,7,2017-07-14,Summer Blockbuster,,0,0,0,0
Peach Girl,2017,5,2017-05-20,Spring,,0,0,0,0
Dead Shack,2017,7,2017-07-02,Summer Blockbuster,,0,0,0,0
Casting JonBenet,2017,4,2017-04-28,Spring,,0,0,0,0
Never-Ending Man: Hayao Miyazaki,2017,11,2017-11-14,Holiday Season,,0,0,0,0
Deuces,2017,4,2017-04-01,Spring,,0,0,0,0
Christmas in Mississippi,2017,12,2017-12-09,Holiday Season,,0,0,0,0
Corpse Prison: Part 2,2017,6,2017-06-10,Summer Blockbuster,,0,0,0,0
L7: Pretend We're Dead,2017,10,2017-10-13,Awards Season,,0,0,0,0
Daytime Shooting Star,2017,3,2017-03-24,Spring,,0,0,0,0
Always Be with You,2017,10,2017-10-26,Awards Season,,0,0,0,0
Secret Superstar,2017,10,2017-10-19,Awards Season,122026260.0,0,0,0,0
Oklahoma City,2017,1,2017-01-21,Awards Season,,0,0,0,0
Becoming Warren Buffett,2017,1,2017-01-30,Awards Season,,0,0,0,0
Devil in the Dark,2017,3,2017-03-07,Spring,,0,0,0,0
The Chess Player,2017,5,2017-05-05,Spring,,0,0,0,0
Runaway Christmas Bride,2017,12,2017-12-09,Holiday Season,,0,0,0,0
All That Divides Us,2017,11,2017-11-08,Holiday Season,,0,0,0,0
The Last Scout,2017,7,2017-07-17,Summer Blockbuster,,0,0,0,0
The Student,2017,3,2017-03-20,Spring,,0,0,0,0
Grießnockerlaffäre,2017,8,2017-08-03,Summer Blockbuster,,0,0,0,0
The Adventure Club,2017,2,2017-02-10,Awards Season,,0,0,0,0
Double Mints,2017,6,2017-06-03,Summer Blockbuster,,0,0,0,0
In Extremis,2017,6,2017-06-19,Summer Blockbuster,,0,0,0,0
The Trip to Spain,2017,8,2017-08-24,Summer Blockbuster,,0,0,0,0
My Son,2017,9,2017-09-20,Awards Season,,0,0,0,0
"Diana, Our Mother: Her Life and Legacy",2017,7,2017-07-24,Summer Blockbuster,,0,0,0,0
London Town,2017,8,2017-08-03,Summer Blockbuster,,0,0,0,0
Aval,2017,11,2017-11-02,Holiday Season,,0,0,0,0
Mayaanadhi,2017,12,2017-12-22,Holiday Season,,0,0,0,0
Getaway Plan,2017,4,2017-04-28,Spring,,0,0,0,0
DreamWorks Home: For the Holidays,2017,12,2017-12-01,Holiday Season,,0,0,0,0
Lost in Florence,2017,1,2017-01-27,Awards Season,,0,0,0,0
Beaches,2017,1,2017-01-21,Awards Season,,0,0,0,0
The Wild Boys,2017,6,2017-06-13,Summer Blockbuster,,0,0,0,0
"Hochelaga, Land of Souls",2017,9,2017-09-09,Awards Season,,0,0,0,0
At Home in Mitford,2017,8,2017-08-20,Summer Blockbuster,,0,0,0,0
Rangoon,2017,2,2017-02-24,Awards Season,,0,0,0,0
The Spearhead Effect,2017,4,2017-04-06,Spring,,0,0,0,0
The Promise,2017,9,2017-09-07,Awards Season,,0,0,0,0
Family of Lies,2017,12,2017-12-31,Holiday Season,,0,0,0,0
Colour of the Game,2017,8,2017-08-31,Summer Blockbuster,,0,0,0,0
Monopoly (The Bank of Luck),2017,4,2017-04-05,Spring,,0,0,0,0
Miss Christmas,2017,11,2017-11-05,Holiday Season,,0,0,0,0
Mr. Roosevelt,2017,7,2017-07-29,Summer Blockbuster,,0,0,0,0
Monster High: Electrified,2017,4,2017-04-04,Spring,,0,0,0,0
The Wound,2017,4,2017-04-19,Spring,,0,0,0,0
The Mistletoe Inn,2017,11,2017-11-23,Holiday Season,,0,0,0,0
The Bros,2017,11,2017-11-02,Holiday Season,,0,0,0,0
The Sheriff In Town,2017,5,2017-05-03,Spring,,0,0,0,0
I Can Quit Whenever I Want 2: Masterclass,2017,2,2017-02-02,Awards Season,,0,0,0,0
Sisters of the Groom,2017,9,2017-09-02,Awards Season,,0,0,0,0
See You Up There,2017,10,2017-10-25,Awards Season,,0,0,0,0
The Mad Whale,2017,6,2017-06-14,Summer Blockbuster,,0,0,0,0
