Title,Release Year,Release Month,Release Date,Release Season,Worldwide Gross,Oscar_Win,GG_Win,BAFTA_Win,Total_Awards_Won
In This Corner of the World,2016,11,2016-11-12,Holiday Season,,0,0,0,0
Yu-Gi-Oh!: The Dark Side of Dimensions,2016,4,2016-04-23,Spring,,0,0,0,0
Detective Conan: The Darkest Nightmare,2016,4,2016-04-16,Spring,,0,0,0,0
Ben-Hur,2016,8,2016-08-17,Summer Blockbuster,94061311.0,0,0,0,0
Gold,2016,2,2016-02-03,Awards Season,,0,0,0,0
Manchester by the Sea,2016,11,2016-11-17,Holiday Season,78988148.0,1,1,1,3
Collateral Beauty,2016,12,2016-12-15,Holiday Season,88616021.0,0,0,0,0
Masterminds,2016,9,2016-09-29,Awards Season,29674699.0,0,0,0,0
Trolls,2016,10,2016-10-13,Awards Season,347013487.0,1,1,0,2
Dou kyu sei – Classmates,2016,2,2016-02-20,Awards Season,,0,0,0,0
Hell or High Water,2016,8,2016-08-11,Summer Blockbuster,37879877.0,1,1,1,3
Allied,2016,2,2016-02-12,Awards Season,119520023.0,1,0,1,2
Wild Awakening,2016,10,2016-10-23,Awards Season,,0,0,0,0
The Man Who Knew Infinity,2016,4,2016-04-08,Spring,,0,0,0,0
My Friend's Mom,2016,10,2016-10-12,Awards Season,,0,0,0,0
White Girl,2016,9,2016-09-02,Awards Season,,0,0,0,0
Spectral,2016,12,2016-12-09,Holiday Season,,0,0,0,0
Ouija: Origin of Evil,2016,10,2016-10-20,Awards Season,81705746.0,0,0,0,0
How to Be Single,2016,2,2016-02-08,Awards Season,112543513.0,0,0,0,0
Jason Bourne,2016,7,2016-07-27,Summer Blockbuster,415484914.0,0,0,0,0
Rules Don't Apply,2016,11,2016-11-23,Holiday Season,,0,0,0,0
Fallen,2016,11,2016-11-10,Holiday Season,,0,0,0,0
Gods of Egypt,2016,2,2016-02-25,Awards Season,,0,0,0,0
Ice Age: The Great Egg-Scapade,2016,3,2016-03-19,Spring,,0,0,0,0
Batman: The Killing Joke,2016,7,2016-07-24,Summer Blockbuster,,0,0,0,0
Le Clitoris,2016,6,2016-06-18,Summer Blockbuster,,0,0,0,0
Mother's Day,2016,4,2016-04-28,Spring,48782670.0,0,0,0,0
My Big Fat Greek Wedding 2,2016,3,2016-03-23,Spring,90632641.0,0,0,0,0
Barbershop: The Next Cut,2016,4,2016-04-15,Spring,55630051.0,0,0,0,0
Never Back Down: No Surrender,2016,6,2016-06-07,Summer Blockbuster,,0,0,0,0
Finding Dory,2016,6,2016-06-16,Summer Blockbuster,1028570889.0,0,0,0,0
Now You See Me 2,2016,6,2016-06-02,Summer Blockbuster,334897606.0,0,0,0,0
Dangal,2016,12,2016-12-21,Holiday Season,303726694.0,0,0,0,0
Alice Through the Looking Glass,2016,5,2016-05-25,Spring,299457024.0,0,0,0,0
Fences,2016,12,2016-12-16,Holiday Season,64414761.0,1,1,0,2
Sniper: Ghost Shooter,2016,8,2016-08-02,Summer Blockbuster,,0,0,0,0
Mechanic: Resurrection,2016,8,2016-08-25,Summer Blockbuster,125729635.0,0,0,0,0
The Girl with All the Gifts,2016,9,2016-09-23,Awards Season,,0,0,0,0
Code Geass: Akito the Exiled 5: To Beloved Ones,2016,2,2016-02-06,Awards Season,,0,0,0,0
Sharknado 4: The 4th Awakens,2016,7,2016-07-31,Summer Blockbuster,,0,0,0,0
Inferno,2016,10,2016-10-13,Awards Season,220021259.0,0,0,0,0
Blood Father,2016,8,2016-08-11,Summer Blockbuster,,0,0,0,0
Kizumonogatari Part 1: Tekketsu,2016,1,2016-01-08,Awards Season,,0,0,0,0
Pride and Prejudice and Zombies,2016,2,2016-02-04,Awards Season,,0,0,0,0
God's Not Dead 2,2016,4,2016-04-01,Spring,24487848.0,0,0,0,0
Office Christmas Party,2016,11,2016-11-25,Holiday Season,114501299.0,0,0,0,0
The Angry Birds Movie,2016,5,2016-05-11,Spring,352333929.0,0,0,0,0
Billy Lynn's Long Halftime Walk,2016,11,2016-11-10,Holiday Season,30930984.0,0,0,0,0
GANTZ:O,2016,10,2016-10-14,Awards Season,,0,0,0,0
The Do-Over,2016,5,2016-05-27,Spring,,0,0,0,0
Race,2016,2,2016-02-19,Awards Season,25070261.0,0,0,0,0
Kizumonogatari Part 2: Nekketsu,2016,8,2016-08-19,Summer Blockbuster,,0,0,0,0
Silence,2016,12,2016-12-23,Holiday Season,23834809.0,1,0,0,1
Sausage Party,2016,7,2016-07-11,Summer Blockbuster,140705322.0,0,0,0,0
Bastille Day,2016,4,2016-04-22,Spring,,0,0,0,0
Don't Breathe,2016,6,2016-06-08,Summer Blockbuster,157761002.0,0,0,0,0
Assassin's Creed,2016,12,2016-12-21,Holiday Season,240697856.0,0,0,0,0
Young Mother: The Original,2016,6,2016-06-23,Summer Blockbuster,,0,0,0,0
The BFG,2016,6,2016-06-01,Summer Blockbuster,195243411.0,0,0,0,0
Kingsglaive: Final Fantasy XV,2016,7,2016-07-09,Summer Blockbuster,,0,0,0,0
Captain Fantastic,2016,7,2016-07-08,Summer Blockbuster,,1,1,0,2
Under the Dog,2016,8,2016-08-01,Summer Blockbuster,,0,0,0,0
All the Way,2016,5,2016-05-23,Spring,,0,0,0,0
Doraemon: Nobita and the Birth of Japan,2016,3,2016-03-05,Spring,,0,0,0,0
Fate/Grand Order: First Order,2016,12,2016-12-31,Holiday Season,,0,0,0,0
The Finest Hours,2016,1,2016-01-27,Awards Season,52099090.0,0,0,0,0
Sing Street,2016,3,2016-03-11,Spring,,0,0,0,0
Batman: Bad Blood,2016,1,2016-01-19,Awards Season,,0,0,0,0
Sully,2016,9,2016-09-07,Awards Season,243870033.0,1,0,0,1
Monster Trucks,2016,12,2016-12-21,Holiday Season,64493915.0,0,0,0,0
Assassination Classroom the Movie: 365 Days' Time,2016,11,2016-11-19,Holiday Season,,0,0,0,0
Absolutely Fabulous: The Movie,2016,7,2016-07-01,Summer Blockbuster,39219109.0,0,0,0,0
The Forest,2016,1,2016-01-07,Awards Season,39712000.0,0,0,0,0
USS Indianapolis: Men of Courage,2016,9,2016-09-22,Awards Season,,0,0,0,0
The Choice,2016,2,2016-02-04,Awards Season,23064015.0,0,0,0,0
The Boss,2016,4,2016-04-07,Spring,78844582.0,0,0,0,0
Storks,2016,9,2016-09-22,Awards Season,183679278.0,0,0,0,0
The Boy,2016,1,2016-01-22,Awards Season,,0,0,0,0
LEGO DC Comics Super Heroes: Justice League - Gotham City Breakout,2016,6,2016-06-21,Summer Blockbuster,,0,0,0,0
